"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"AltNoX2",2000,66.717964,52.426258,53.31119,63.200855,71.436935,79.68271,79.8752,84.72304,87.48196,87.27099,90.335236,90.16861
"AltNoX2",2001,82.57342,66.41667,64.73788,72.88433,78.483086,81.89485,85.71417,89.67614,92.296646,92.633804,89.92843,62.943684
"AltNoX2",2002,56.915478,64.86418,67.46329,74.46742,79.057724,81.95418,83.34146,87.6137,91.306,92.39916,91.054794,63.068794
"AltNoX2",2003,55.385605,62.3986,65.25246,60.87892,60.22186,74.10981,79.374504,84.46215,87.09847,88.49909,89.87412,66.58789
"AltNoX2",2004,59.22912,53.304783,56.350063,67.07249,77.4025,80.26252,79.90131,84.284134,87.024185,86.98437,89.8451,78.4405
"AltNoX2",2005,59.50139,60.892,58.65523,62.47191,56.331432,64.606285,79.80092,86.585335,88.139145,90.0305,91.204506,56.443222
"AltNoX2",2006,52.45638,54.66007,52.479847,52.187557,56.15439,69.42067,79.43513,84.730545,84.49314,86.22298,89.7389,78.41456
"AltNoX2",2007,79.57642,65.843506,68.84662,76.29708,79.19298,82.303116,82.433586,86.67229,89.572586,91.56487,92.13138,88.75546
"AltNoX2",2008,67.38002,63.432293,69.15573,76.438835,79.9011,82.58547,86.15075,90.3307,92.45093,92.6112,92.145645,90.02839
"AltNoX2",2009,87.714325,68.873825,63.09737,67.88929,77.26353,80.49496,83.93565,88.73095,91.73431,92.096855,92.81042,91.16379
"AltNoX2",2010,68.12548,60.708263,64.92562,62.911186,65.48652,74.965866,83.12206,86.18344,87.911705,84.7026,83.88182,56.805088
"AltNoX2",2011,58.995342,57.9589,52.464516,56.25516,58.04412,60.44554,72.94249,82.72662,83.247955,82.61377,85.6704,89.76198
"AltNoX2",2012,86.01902,81.528,64.96673,64.275894,72.30493,81.015945,82.32299,86.37308,89.283165,91.46183,90.64438,58.4091
"AltNoX2",2013,63.84968,67.81341,76.27658,79.21244,79.55943,82.22321,85.897545,90.311806,92.11223,92.15016,92.1699,90.038124
"AltNoX2",2014,89.50547,81.52268,73.22043,78.39529,86.625565,90.39512,93.21992,93.42516,92.82206,93.811485,93.729454,63.915123
"AltS74",1995,53.615604,55.105965,51.603424,54.605698,54.01348,61.660805,74.00471,73.97137,79.29768,86.553276,90.65937,68.58615
"AltS74",1996,57.92998,52.229427,53.752895,58.271378,57.180386,73.287125,73.983315,73.9892,83.33082,88.53673,88.79497,54.408367
"AltS74",1997,48.917427,53.865498,63.0835,69.9396,76.69399,79.378334,73.989105,73.935555,82.14117,87.69755,87.56238,76.09028
"AltS74",1998,54.38243,49.090588,52.951805,55.94264,54.347496,56.02355,68.2504,74.03409,73.48608,75.21639,65.73376,60.285923
"AltS74",1999,58.10209,52.514896,54.030922,62.126934,69.206894,78.21513,73.948166,73.716965,82.3733,87.68596,90.6328,88.20702
"AltS74",2000,68.774574,52.7528,53.30281,63.250473,71.49712,79.391716,74.01932,73.929375,81.780876,87.39201,90.19186,90.18226
"AltS74",2001,82.953804,66.50619,64.761116,72.87115,78.49657,81.91047,85.71615,89.68034,92.3062,92.576584,89.88769,64.980995
"AltS74",2002,57.167492,64.94893,67.54886,74.485664,79.07793,81.96716,84.9401,89.02465,91.54544,92.34442,91.27661,63.01034
