"","year","month","region","sal","X2","WY","month_f","region_f","wy_f","X2_z","X2_z_quad"
"3436",2018,2,"NE Suisun",3.32622724121674,73.9135714285714,2018,"2","NE Suisun","2018",-0.0873020060404669,0.00762164025868972
"3437",2018,2,"NW Suisun",5.72467096651608,73.9135714285714,2018,"2","NW Suisun","2018",-0.0873020060404669,0.00762164025868972
"3438",2018,2,"SE Suisun",3.02364089202471,73.9135714285714,2018,"2","SE Suisun","2018",-0.0873020060404669,0.00762164025868972
"3439",2018,2,"SW Suisun",11.2606283735381,73.9135714285714,2018,"2","SW Suisun","2018",-0.0873020060404669,0.00762164025868972
"3440",2018,2,"Sacramento River",0.101274798227093,73.9135714285714,2018,"2","Sacramento River","2018",-0.0873020060404669,0.00762164025868972
"3441",2018,2,"South Delta",0.236452845696839,73.9135714285714,2018,"2","South Delta","2018",-0.0873020060404669,0.00762164025868972
"3442",2018,2,"Suisun Marsh",2.85684027267369,73.9135714285714,2018,"2","Suisun Marsh","2018",-0.0873020060404669,0.00762164025868972
"3443",2018,2,"Yolo Bypass",0.13663118675962,73.9135714285714,2018,"2","Yolo Bypass","2018",-0.0873020060404669,0.00762164025868972
"3444",2018,3,"Confluence",0.852248630473922,71.2712903225806,2018,"3","Confluence","2018",-0.329906747625833,0.108838462129055
"3445",2018,3,"East Delta",0.0726335766513222,71.2712903225806,2018,"3","East Delta","2018",-0.329906747625833,0.108838462129055
"3446",2018,3,"Lower Sacramento River",0.198650043617594,71.2712903225806,2018,"3","Lower Sacramento River","2018",-0.329906747625833,0.108838462129055
"3447",2018,3,"Lower San Joaquin River",0.112656944421837,71.2712903225806,2018,"3","Lower San Joaquin River","2018",-0.329906747625833,0.108838462129055
"3448",2018,3,"NE Suisun",2.44095533866883,71.2712903225806,2018,"3","NE Suisun","2018",-0.329906747625833,0.108838462129055
"3449",2018,3,"NW Suisun",4.26244282237,71.2712903225806,2018,"3","NW Suisun","2018",-0.329906747625833,0.108838462129055
"3450",2018,3,"SE Suisun",3.8110010501325,71.2712903225806,2018,"3","SE Suisun","2018",-0.329906747625833,0.108838462129055
"3451",2018,3,"SW Suisun",7.27458956275067,71.2712903225806,2018,"3","SW Suisun","2018",-0.329906747625833,0.108838462129055
"3452",2018,3,"Sacramento River",0.0787014190666808,71.2712903225806,2018,"3","Sacramento River","2018",-0.329906747625833,0.108838462129055
"3453",2018,3,"South Delta",0.210557824930495,71.2712903225806,2018,"3","South Delta","2018",-0.329906747625833,0.108838462129055
"3454",2018,3,"Suisun Marsh",2.03820229497621,71.2712903225806,2018,"3","Suisun Marsh","2018",-0.329906747625833,0.108838462129055
