"month","region","year","sal_AltF74","sal_AltF80","sal_AltNoX2","sal_AltS74","sal_AltS74F80"
1,"Confluence",1992,1.1826514456629,2.55872062034933,2.55857727586371,2.55879343108758,2.55945899299346
1,"Confluence",1993,0.1,0.1,0.1,0.1,0.1
1,"Confluence",1994,1.81573453408689,1.86570199747124,1.58780039783529,0.816333135407517,1.93758317165729
1,"Confluence",1995,0.1,0.1,0.1,0.1,0.1
1,"Confluence",1996,0.1,0.1,0.1,0.1,0.1
1,"Confluence",1997,0.1,0.1,0.1,0.1,0.1
1,"Confluence",1998,0.1,0.1,0.1,0.1,0.1
1,"Confluence",1999,0.1,0.1,0.1,0.1,0.1
1,"Confluence",2000,0.1,0.1,0.1,0.1,0.1
1,"Confluence",2001,1.30971545305438,1.2848865828124,1.42917365968135,1.4922716411464,1.45843537426882
1,"Confluence",2002,0.1,0.1,0.1,0.1,0.1
1,"Confluence",2003,0.1,0.1,0.1,0.1,0.1
1,"Confluence",2004,0.1,0.1,0.1,0.1,0.1
1,"Confluence",2005,0.1,0.1,0.1,0.1,0.1
1,"Confluence",2006,0.1,0.1,0.1,0.1,0.1
1,"Confluence",2007,0.833397273759926,0.846239513179963,0.951473255920298,0.971176376517908,0.852720199962436
1,"Confluence",2008,0.1,0.1,0.1,0.1,0.1
1,"Confluence",2009,2.32409011493109,2.32526734362219,2.32895065472841,2.32481454491029,2.32689132485517
1,"Confluence",2010,0.1,0.1,0.1,0.1,0.1
1,"Confluence",2011,0.1,0.1,0.1,0.1,0.1
1,"Confluence",2012,1.66835839408053,1.98319028961553,2.0210138827814,1.96856460025794,1.88041186959773
1,"Confluence",2013,0.1,0.1,0.1,0.1,0.1
1,"Confluence",2014,2.68062453123481,2.6328488833059,2.66628996002337,2.62433584884246,2.66546535256827
1,"Confluence",2015,0.333152018798335,0.333095722296532,0.33288289989299,0.333218614274431,0.333238524437579
1,"Confluence",2016,0.1,0.1,0.1,0.1,0.1
1,"Confluence",2017,0.1,0.1,0.1,0.1,0.1
1,"Confluence",2018,0.1,0.1,0.1,0.1,0.1
